date,length,sex,age,strata
2023-06-06,515,M,1.1,
2023-06-06,538,M,1.1,
2023-06-06,552,M,NA,
2023-06-06,557,M,1.1,
2023-06-06,594,M,1.1,
2023-06-06,608,M,1.1,
2023-06-06,739,F,1.2,
2023-06-08,550,M,1.1,
2023-06-08,580,M,1.1,
2023-06-08,650,M,1.1,
2023-06-08,780,F,1.2,
2023-06-09,470,M,1.1,
2023-06-09,590,M,1.1,
2023-06-09,595,M,1.1,
2023-06-09,650,F,1.2,
2023-06-09,700,F,1.2,
2023-06-09,715,F,1.2,
2023-06-09,740,F,1.2,
2023-06-09,780,F,1.2,
2023-06-09,800,F,1.3,
2023-06-10,470,M,1.1,
2023-06-13,590,F,1.1,
2023-06-14,485,M,1.1,
2023-06-14,730,M,1.2,
2023-06-14,800,M,1.2,
2023-06-16,557,F,NA,
2023-06-16,693,F,NA,
2023-06-17,440,M,1.1,
2023-06-17,570,M,1.1,
2023-06-17,610,F,1.1,
2023-06-17,690,F,1.3,
2023-06-17,690,F,NA,
2023-06-17,695,F,1.2,
2023-06-17,710,F,1.2,
2023-06-17,735,F,1.2,
2023-06-17,760,M,1.2,
2023-06-17,760,M,1.3,
2023-06-17,775,F,1.3,
2023-06-17,780,F,1.3,
2023-06-18,460,M,1.1,
2023-06-18,520,M,1.1,
2023-06-18,650,M,1.2,
2023-06-18,690,M,1.2,
2023-06-18,690,F,NA,
2023-06-18,700,F,1.2,
2023-06-18,700,M,1.2,
2023-06-18,705,M,NA,
2023-06-18,720,M,NA,
2023-06-18,720,F,NA,
2023-06-18,740,M,1.2,
2023-06-18,760,M,1.3,
2023-06-18,790,F,NA,
2023-06-19,440,M,1.1,
2023-06-19,460,M,1.1,
2023-06-19,470,M,1.1,
2023-06-19,480,M,1.1,
2023-06-19,495,M,1.1,
2023-06-19,505,M,NA,
2023-06-19,510,M,1.1,
2023-06-19,520,M,1.2,
2023-06-19,530,M,1.1,
2023-06-19,530,M,1.1,
2023-06-19,540,M,1.1,
2023-06-19,630,F,1.2,
2023-06-19,660,M,1.1,
2023-06-19,670,F,1.2,
2023-06-19,670,M,1.2,
2023-06-19,670,F,1.2,
2023-06-19,690,F,1.2,
2023-06-19,710,M,1.2,
2023-06-19,720,M,1.2,
2023-06-19,720,F,1.2,
2023-06-19,720,M,1.2,
2023-06-19,720,F,1.3,
2023-06-19,725,F,1.2,
2023-06-19,730,F,1.3,
2023-06-19,740,F,1.3,
2023-06-19,740,M,1.3,
2023-06-19,750,M,1.3,
2023-06-19,820,M,1.3,
2023-06-20,460,M,1.1,
2023-06-20,470,M,NA,
2023-06-20,520,M,1.1,
2023-06-20,530,M,NA,
2023-06-20,550,M,1.1,
2023-06-20,640,M,1.2,
2023-06-20,670,F,1.2,
2023-06-20,670,F,1.2,
2023-06-20,725,M,1.3,
2023-06-20,730,F,1.2,
2023-06-20,730,M,1.3,
2023-06-20,730,F,1.3,
2023-06-20,735,M,1.2,
2023-06-20,740,F,NA,
2023-06-20,755,F,1.2,
2023-06-20,760,M,1.3,
2023-06-20,770,M,1.2,
2023-06-20,770,M,NA,
2023-06-20,775,M,1.3,
2023-06-20,805,M,1.2,
2023-06-21,465,M,NA,
2023-06-21,480,M,1.1,
2023-06-21,480,M,1.1,
2023-06-21,485,M,1.1,
2023-06-21,510,M,1.1,
2023-06-21,515,M,1.1,
2023-06-21,520,M,1.1,
2023-06-21,540,M,NA,
2023-06-21,575,M,1.1,
2023-06-21,590,M,1.1,
2023-06-21,590,F,1.1,
2023-06-21,680,F,NA,
2023-06-21,710,F,1.3,
2023-06-21,715,F,1.2,
2023-06-21,720,F,NA,
2023-06-21,725,F,1.3,
2023-06-21,730,F,1.2,
2023-06-22,400,M,NA,
2023-06-22,425,M,NA,
2023-06-22,450,M,NA,
2023-06-22,465,M,NA,
2023-06-22,470,M,1.1,
2023-06-22,470,M,1.1,
2023-06-22,480,M,1.1,
2023-06-22,480,M,1.1,
2023-06-22,480,M,1.1,
2023-06-22,490,M,1.1,
2023-06-22,490,M,1.1,
2023-06-22,500,M,1.1,
2023-06-22,505,M,1.1,
2023-06-22,505,M,1.1,
2023-06-22,510,M,1.1,
2023-06-22,515,M,1.1,
2023-06-22,515,M,1.1,
2023-06-22,515,M,NA,
2023-06-22,515,M,NA,
2023-06-22,515,M,NA,
2023-06-22,520,M,1.1,
2023-06-22,530,M,1.1,
2023-06-22,535,M,1.1,
2023-06-22,540,M,1.1,
2023-06-22,545,M,1.1,
2023-06-22,550,M,1.1,
2023-06-22,550,M,1.1,
2023-06-22,560,M,1.1,
2023-06-22,570,M,1.1,
2023-06-22,570,M,1.1,
2023-06-22,570,M,1.2,
2023-06-22,580,M,1.1,
2023-06-22,580,M,1.2,
2023-06-22,590,M,1.1,
2023-06-22,590,M,1.1,
2023-06-22,590,M,1.2,
2023-06-22,590,M,NA,
2023-06-22,640,M,1.2,
2023-06-22,640,F,1.2,
2023-06-22,640,F,1.2,
2023-06-22,680,F,NA,
2023-06-22,690,M,1.2,
2023-06-22,690,F,NA,
2023-06-22,700,M,1.2,
2023-06-22,700,F,NA,
2023-06-22,710,M,1.3,
2023-06-22,720,F,1.2,
2023-06-22,720,F,1.3,
2023-06-22,720,F,1.3,
2023-06-22,725,F,1.2,
2023-06-22,730,F,1.3,
2023-06-22,735,F,1.2,
2023-06-22,735,F,1.3,
2023-06-22,735,F,NA,
2023-06-22,740,F,1.3,
2023-06-22,770,F,1.2,
2023-06-22,795,F,1.3,
2023-06-22,825,F,1.3,
2023-06-22,870,F,1.3,
2023-06-22,875,M,1.3,
2023-06-23,440,M,NA,
2023-06-23,450,M,NA,
2023-06-23,460,M,1.1,
2023-06-23,470,M,1.1,
2023-06-23,475,M,NA,
2023-06-23,480,M,1.1,
2023-06-23,500,M,1.1,
2023-06-23,505,M,NA,
2023-06-23,510,M,1.1,
2023-06-23,510,M,NA,
2023-06-23,515,M,NA,
2023-06-23,525,M,1.1,
2023-06-23,530,M,1.1,
2023-06-23,530,M,1.1,
2023-06-23,535,M,1.2,
2023-06-23,535,M,NA,
2023-06-23,550,M,1.1,
2023-06-23,560,M,1.1,
2023-06-23,570,M,1.2,
2023-06-23,575,M,1.1,
2023-06-23,610,M,1.1,
2023-06-23,680,F,1.2,
2023-06-23,695,F,1.2,
2023-06-23,705,F,1.3,
2023-06-23,705,F,1.3,
2023-06-23,710,M,1.2,
2023-06-23,715,F,1.2,
2023-06-23,715,F,1.2,
2023-06-23,720,F,1.3,
2023-06-23,720,F,1.3,
2023-06-23,720,F,NA,
2023-06-23,725,F,1.2,
2023-06-23,730,F,1.2,
2023-06-23,730,M,1.3,
2023-06-23,735,M,NA,
2023-06-23,740,F,1.2,
2023-06-23,740,M,1.3,
2023-06-23,740,F,NA,
2023-06-23,740,F,NA,
2023-06-23,750,F,1.3,
2023-06-23,750,F,NA,
2023-06-23,760,F,1.3,
2023-06-23,760,F,1.3,
2023-06-23,770,F,1.2,
2023-06-23,770,F,1.3,
2023-06-23,780,F,1.3,
2023-06-23,790,M,NA,
2023-06-23,820,M,1.3,
2023-06-23,830,M,1.3,
2023-06-23,960,M,1.3,
2023-06-24,465,M,1.1,
2023-06-24,480,F,1.1,
2023-06-24,490,M,1.1,
2023-06-24,525,M,1.1,
2023-06-24,525,M,1.1,
2023-06-24,530,M,1.1,
2023-06-24,540,M,1.1,
2023-06-24,550,M,1.1,
2023-06-24,560,M,1.1,
2023-06-24,580,M,1.2,
2023-06-24,600,F,1.2,
2023-06-24,600,M,1.2,
2023-06-24,650,M,NA,
2023-06-24,700,F,1.2,
2023-06-24,700,F,1.3,
2023-06-24,705,F,NA,
2023-06-24,715,M,1.2,
2023-06-24,720,M,1.2,
2023-06-24,735,M,1.3,
2023-06-24,740,F,1.2,
2023-06-24,745,F,NA,
2023-06-24,750,F,1.2,
2023-06-24,760,F,NA,
2023-06-24,770,F,NA,
2023-06-24,785,F,NA,
2023-06-24,790,F,1.3,
2023-06-24,790,M,NA,
2023-06-25,450,M,1.1,
2023-06-25,460,M,1.1,
2023-06-25,460,M,1.1,
2023-06-25,480,M,1.1,
2023-06-25,480,M,1.1,
2023-06-25,490,M,1.1,
2023-06-25,490,M,1.1,
2023-06-25,495,M,1.1,
2023-06-25,500,F,1.1,
2023-06-25,520,F,1.1,
2023-06-25,520,F,1.1,
2023-06-25,520,M,1.1,
2023-06-25,520,M,1.1,
2023-06-25,525,M,1.1,
2023-06-25,560,F,1.1,
2023-06-25,590,M,1.1,
2023-06-25,640,F,1.2,
2023-06-25,660,F,NA,
2023-06-25,690,F,1.2,
2023-06-25,690,F,1.2,
2023-06-25,690,F,NA,
2023-06-25,695,F,1.2,
2023-06-25,700,F,1.2,
2023-06-25,715,F,1.2,
2023-06-25,725,F,1.2,
2023-06-25,730,F,1.2,
2023-06-25,730,M,1.2,
2023-06-25,740,M,1.3,
2023-06-25,750,F,1.3,
2023-06-25,800,M,1.3,
2023-06-26,520,M,NA,
2023-06-26,715,F,NA,
2023-06-26,725,F,1.2,
2023-06-27,470,M,NA,
2023-06-27,610,M,1.2,
2023-06-27,670,F,1.2,
2023-06-27,710,F,1.3,
2023-06-27,730,F,1.3,
2023-06-27,770,M,1.3,
2023-06-27,780,F,NA,
2023-06-28,475,M,NA,
2023-06-28,490,M,1.1,
2023-06-28,510,M,1.1,
2023-06-28,530,M,NA,
2023-06-28,675,F,1.2,
2023-06-28,755,F,NA,
2023-06-28,760,F,1.3,
2023-06-28,805,F,NA,
2023-06-29,555,M,1.1,
2023-06-29,670,F,1.2,
2023-06-29,700,F,1.3,
2023-06-29,715,F,1.2,
2023-06-29,740,F,NA,
2023-06-29,750,F,1.3,
2023-06-30,550,M,NA,
2023-06-30,715,F,1.2,
2023-06-30,725,F,1.2,
2023-06-30,730,F,1.2,
2023-06-30,740,F,1.2,
2023-06-30,755,F,NA,
2023-06-30,760,M,1.2,
2023-06-30,795,F,1.3,
2023-06-30,830,F,1.3,
2023-07-01,485,M,NA,
2023-07-01,550,M,NA,
2023-07-01,710,F,1.2,
2023-07-01,750,F,1.2,
2023-07-01,750,F,1.3,
2023-07-02,480,M,NA,
2023-07-02,490,M,NA,
2023-07-02,740,F,1.3,
2023-07-02,750,F,NA,
2023-07-03,700,F,1.2,
2023-07-03,740,F,1.3,
2023-07-03,750,F,1.3,
2023-07-03,780,F,1.3,
2023-07-04,520,M,1.1,
2023-07-04,705,F,1.2,
2023-07-04,765,M,1.3,
2023-07-04,785,M,1.2,
2023-07-04,800,F,1.3,
2023-07-05,480,M,1.1,
2023-07-05,490,M,1.1,
2023-07-05,510,M,1.1,
2023-07-05,540,M,1.1,
2023-07-05,540,M,1.1,
2023-07-05,550,M,1.1,
2023-07-05,565,M,1.1,
2023-07-05,590,M,1.2,
2023-07-05,595,F,1.1,
2023-07-05,640,M,1.2,
2023-07-05,710,F,1.2,
2023-07-05,720,F,1.3,
2023-07-05,735,F,1.3,
2023-07-05,745,F,1.3,
2023-07-05,NA,NA,NA,
2023-07-06,570,M,1.1,
2023-07-06,705,F,1.2,
2023-07-06,720,F,1.2,
2023-07-07,515,M,1.1,
2023-07-07,595,M,1.2,
2023-07-07,640,M,1.2,
2023-07-07,690,F,NA,
2023-07-07,705,F,1.2,
2023-07-07,725,F,1.2,
2023-07-07,735,F,NA,
2023-07-07,745,F,1.3,
2023-07-07,760,M,1.3,
2023-07-07,760,F,NA,
2023-07-10,690,F,1.2,
2023-07-10,715,M,NA,
2023-07-10,720,F,NA,
2023-07-10,780,F,1.3,
2023-07-14,715,F,1.2,
